Web Search interest: voting in referendum register to vote referendum vote
United Kingdom Past 7 days

Interest over time
Time,voting in referendum,register to vote,referendum vote
2016-04-26-00:00 UTC,2,34,35
2016-04-26-01:00 UTC,2,29,31
2016-04-26-02:00 UTC,4,22,25
2016-04-26-03:00 UTC,6,33,58
2016-04-26-04:00 UTC,8,59,50
2016-04-26-05:00 UTC,3,71,77
2016-04-26-06:00 UTC,3,69,76
2016-04-26-07:00 UTC,4,65,71
2016-04-26-08:00 UTC,2,57,64
2016-04-26-09:00 UTC,3,55,56
2016-04-26-10:00 UTC,3,54,55
2016-04-26-11:00 UTC,4,52,53
2016-04-26-12:00 UTC,2,48,47
2016-04-26-13:00 UTC,3,41,47
2016-04-26-14:00 UTC,4,40,44
2016-04-26-15:00 UTC,2,49,48
2016-04-26-16:00 UTC,3,46,51
2016-04-26-17:00 UTC,2,63,57
2016-04-26-18:00 UTC,3,55,51
2016-04-26-19:00 UTC,3,55,51
2016-04-26-20:00 UTC,3,55,53
2016-04-26-21:00 UTC,2,51,50
2016-04-26-22:00 UTC,3,40,43
2016-04-26-23:00 UTC,2,31,34
2016-04-27-00:00 UTC,1,20,20
2016-04-27-01:00 UTC,2,29,25
2016-04-27-02:00 UTC,6,33,28
2016-04-27-03:00 UTC,3,24,21
2016-04-27-04:00 UTC,4,63,44
2016-04-27-05:00 UTC,2,62,61
2016-04-27-06:00 UTC,4,55,66
2016-04-27-07:00 UTC,3,53,60
2016-04-27-08:00 UTC,4,47,53
2016-04-27-09:00 UTC,3,50,48
2016-04-27-10:00 UTC,3,49,48
2016-04-27-11:00 UTC,3,50,51
2016-04-27-12:00 UTC,2,49,51
2016-04-27-13:00 UTC,3,42,41
2016-04-27-14:00 UTC,3,37,39
2016-04-27-15:00 UTC,3,39,48
2016-04-27-16:00 UTC,3,48,47
2016-04-27-17:00 UTC,3,73,70
2016-04-27-18:00 UTC,3,54,53
2016-04-27-19:00 UTC,2,45,45
2016-04-27-20:00 UTC,2,41,47
2016-04-27-21:00 UTC,3,57,65
2016-04-27-22:00 UTC,2,41,42
2016-04-27-23:00 UTC,1,23,20
2016-04-28-00:00 UTC,1,24,27
2016-04-28-01:00 UTC,2,25,21
2016-04-28-02:00 UTC,3,19,22
2016-04-28-03:00 UTC,3,33,27
2016-04-28-04:00 UTC,4,35,48
2016-04-28-05:00 UTC,1,76,84
2016-04-28-06:00 UTC,3,62,72
2016-04-28-07:00 UTC,2,47,59
2016-04-28-08:00 UTC,4,43,59
2016-04-28-09:00 UTC,3,52,70
2016-04-28-10:00 UTC,3,47,63
2016-04-28-11:00 UTC,3,49,68
2016-04-28-12:00 UTC,4,48,69
2016-04-28-13:00 UTC,4,38,52
2016-04-28-14:00 UTC,2,41,45
2016-04-28-15:00 UTC,2,37,41
2016-04-28-16:00 UTC,2,36,43
2016-04-28-17:00 UTC,7,88,100
2016-04-28-18:00 UTC,5,73,94
2016-04-28-19:00 UTC,3,48,48
2016-04-28-20:00 UTC,3,38,46
2016-04-28-21:00 UTC,4,61,71
2016-04-28-22:00 UTC,4,49,68
2016-04-28-23:00 UTC,2,24,26
2016-04-29-00:00 UTC,3,23,29
2016-04-29-01:00 UTC,4,29,31
2016-04-29-02:00 UTC,5,27,37
2016-04-29-03:00 UTC,2,14,19
2016-04-29-04:00 UTC,2,16,18
2016-04-29-05:00 UTC,1,45,54
2016-04-29-06:00 UTC,2,36,47
2016-04-29-07:00 UTC,2,35,44
2016-04-29-08:00 UTC,2,36,43
2016-04-29-09:00 UTC,2,37,43
2016-04-29-10:00 UTC,2,32,43
2016-04-29-11:00 UTC,2,35,46
2016-04-29-12:00 UTC,3,35,39
2016-04-29-13:00 UTC,2,32,37
2016-04-29-14:00 UTC,3,28,32
2016-04-29-15:00 UTC,2,25,26
2016-04-29-16:00 UTC,1,30,35
2016-04-29-17:00 UTC,4,43,50
2016-04-29-18:00 UTC,1,35,33
2016-04-29-19:00 UTC,2,27,30
2016-04-29-20:00 UTC,4,56,56
2016-04-29-21:00 UTC,4,43,56
2016-04-29-22:00 UTC,1,24,31
2016-04-29-23:00 UTC,2,15,19
2016-04-30-00:00 UTC,1,14,14
2016-04-30-01:00 UTC,2,14,11
2016-04-30-02:00 UTC,2,13,20
2016-04-30-03:00 UTC,3,8,14
2016-04-30-04:00 UTC,2,30,42
2016-04-30-05:00 UTC,2,34,48
2016-04-30-06:00 UTC,2,46,58
2016-04-30-07:00 UTC,3,41,49
2016-04-30-08:00 UTC,4,38,43
2016-04-30-09:00 UTC,2,37,45
2016-04-30-10:00 UTC,3,35,38
2016-04-30-11:00 UTC,1,31,35
2016-04-30-12:00 UTC,2,33,33
2016-04-30-13:00 UTC,2,31,29
2016-04-30-14:00 UTC,1,22,26
2016-04-30-15:00 UTC,1,26,31
2016-04-30-16:00 UTC,2,23,30
2016-04-30-17:00 UTC,2,23,29
2016-04-30-18:00 UTC,1,26,28
2016-04-30-19:00 UTC,1,25,29
2016-04-30-20:00 UTC,1,26,25
2016-04-30-21:00 UTC,2,26,32
2016-04-30-22:00 UTC,1,19,26
2016-04-30-23:00 UTC,1,20,21
2016-05-01-00:00 UTC,2,17,15
2016-05-01-01:00 UTC,3,15,16
2016-05-01-02:00 UTC,2,12,8
2016-05-01-03:00 UTC,2,19,16
2016-05-01-04:00 UTC,2,32,19
2016-05-01-05:00 UTC,2,32,29
2016-05-01-06:00 UTC,2,33,36
2016-05-01-07:00 UTC,2,36,39
2016-05-01-08:00 UTC,4,49,56
2016-05-01-09:00 UTC,1,34,41
2016-05-01-10:00 UTC,2,33,37
2016-05-01-11:00 UTC,1,31,36
2016-05-01-12:00 UTC,1,27,29
2016-05-01-13:00 UTC,2,24,27
2016-05-01-14:00 UTC,2,22,27
2016-05-01-15:00 UTC,2,28,28
2016-05-01-16:00 UTC,1,25,35
2016-05-01-17:00 UTC,1,30,38
2016-05-01-18:00 UTC,1,29,34
2016-05-01-19:00 UTC,2,30,28
2016-05-01-20:00 UTC,2,28,27
2016-05-01-21:00 UTC,3,35,42
2016-05-01-22:00 UTC,1,23,24
2016-05-01-23:00 UTC,1,17,14
2016-05-02-00:00 UTC,1,13,13
2016-05-02-01:00 UTC,3,14,19
2016-05-02-02:00 UTC,5,12,6
2016-05-02-03:00 UTC,7,3,15
2016-05-02-04:00 UTC,9,26,23
2016-05-02-05:00 UTC,1,17,27
2016-05-02-06:00 UTC,4,37,38
2016-05-02-07:00 UTC,2,30,41
2016-05-02-08:00 UTC,3,32,35
2016-05-02-09:00 UTC,1,30,33
2016-05-02-10:00 UTC,2,28,35


Top sub-regions for voting in referendum
Sub-region,voting in referendum,register to vote,referendum vote
England,100,100,100
Wales,74,80,74
Scotland,48,50,50
Northern Ireland,0,45,34

Top sub-regions for register to vote
Sub-region,voting in referendum,register to vote,referendum vote
England,100,100,100
Wales,74,80,74
Scotland,48,50,50
Northern Ireland,0,45,34

Top sub-regions for referendum vote
Sub-region,voting in referendum,register to vote,referendum vote
England,100,100,100
Wales,74,80,74
Scotland,48,50,50
Northern Ireland,0,45,34


Top cities for voting in referendum
Town/City,voting in referendum
London,100
Birmingham,0
Bristol,0
Southampton,0
Brighton,0
Sheffield,0
Leeds,0
Derby,0
Manchester,0
Liverpool,0

Top cities for register to vote
Town/City,register to vote
Shipton Bellinger,100
Kennington,95
Gosport,84
Barnsley,84
Doncaster,77
Kippax,77
Grimsby,77
Norton,77
Scarcroft,77
Belton,76
Humberston,76
Denmead,0
Dunstable,0
Blyth,0
Wath upon Dearne,0

Top cities for referendum vote
Town/City,referendum vote
Scarcroft,100
Shipton Bellinger,96
Barnsley,95
Folkestone,85
Gosport,82
Doncaster,82
Belton,81
Earby,77
Kippax,75
Grimsby,71
Mistley,0
Kilsby,0
Norton,0
Hucknall,0
Sowerby Bridge,0



Top searches for voting in referendum
voting in the eu referendum,100
voting in eu referendum,15
voting in the referendum,5
eu referendum,5
how to vote in eu referendum,5
register to vote in eu referendum,5
do i need to register to vote in eu referendum,0
voting registration,0
register to vote,0


Top searches for register to vote
register to vote in eu referendum,100
do you have to register to vote in the eu referendum,35
do i need to register to vote in eu referendum,30
eu referendum register to vote,20
do i have to register to vote in the eu referendum,20
do you need to register to vote in eu referendum,15
how to register to vote,15
register to vote online,15
eu referendum,15
register to vote uk,10
register to vote for eu referendum,5
gov.uk register to vote,5
how do i register to vote in the eu referendum,5
gov.uk,5
register to vote eu,5
how to register to vote in the eu referendum,5
how to register to vote for eu referendum,5
how do i register to vote,5
register to vote in the eu referendum,5
register to vote referendum,5
do you have to register to vote in the referendum,5
register to vote in eu referendum uk,5
gov register to vote,5
register to vote scotland,5
register to vote in referendum,5
register to vote ni,5
do i need to register to vote in the eu referendum,0
register to vote in the referendum,0
how to vote in eu referendum,0
do you need to register to vote in the eu referendum,0
do i need to register to vote,0
electoral roll,0
eu referendum poll,0
do you have to register to vote in eu referendum,0
do you have to register to vote,0
register for eu referendum,0
register to vote in referendum uk,0
how do you register to vote in the eu referendum,0
referendum,0
